# klaverjas spoor; spellen=200; zaad=6
1;1;0;2;3;T;63
1;1;1;3;3;8;40
1;1;2;4;0;T;69
1;1;3;1;3;A;46
1;2;0;3;1;A;7
1;2;1;4;1;7;40
1;2;2;1;1;V;4
1;2;3;2;1;B;3
1;3;0;3;3;V;5
1;3;1;4;2;7;65
1;3;2;1;3;7;23
1;3;3;2;0;8;53
1;4;0;2;2;H;7
1;4;1;3;2;V;40
1;4;2;4;2;A;6
1;4;3;1;1;9;53
1;5;0;4;0;A;7
1;5;1;3;0;H;40
1;5;2;2;0;9;36
1;5;3;1;0;B;3
1;6;0;2;2;9;7
1;6;1;3;2;T;40
1;6;2;4;2;B;6
1;6;3;1;3;B;53
1;7;0;2;2;8;56
1;7;1;3;1;T;53
1;7;2;4;1;8;53
1;7;3;1;0;V;53
1;8;0;4;0;7;9
1;8;1;3;3;9;53
1;8;2;2;1;H;53
1;8;3;1;3;H;53
1;=;2;47;105;0;70
2;1;0;1;1;9;47
2;1;1;4;1;H;40
2;1;2;3;0;A;28
2;1;3;2;1;8;38
2;2;0;3;1;A;9
2;2;1;4;1;B;40
2;2;2;1;1;T;36
2;2;3;2;0;B;29
2;3;0;2;3;A;7
2;3;1;3;3;7;34
2;3;2;4;3;8;36
2;3;3;1;3;T;3
2;4;0;4;2;A;7
2;4;1;3;2;9;34
2;4;2;2;2;7;36
2;4;3;1;2;B;3
2;5;0;2;3;H;54
2;5;1;3;3;V;40
2;5;2;4;0;7;12
2;5;3;1;3;9;38
2;6;0;4;1;7;13
2;6;1;3;2;V;53
2;6;2;2;3;B;53
2;6;3;1;0;H;29
2;7;0;3;2;T;13
2;7;1;4;2;H;40
2;7;2;1;2;8;36
2;7;3;2;0;8;65
2;8;0;4;0;9;57
2;8;1;3;1;V;53
2;8;2;2;0;V;36
2;8;3;1;0;T;38
2;=;0;24;128;0;10
3;1;0;4;3;H;7
3;1;1;3;3;T;40
3;1;2;2;3;B;6
3;1;3;1;3;7;3
3;2;0;2;0;T;63
3;2;1;3;2;V;53
3;2;2;4;0;8;36
3;2;3;1;0;A;46
3;3;0;3;1;A;9
3;3;1;4;1;8;34
3;3;2;1;1;V;36
3;3;3;2;1;7;3
3;4;0;3;0;H;5
3;4;1;4;3;A;65
3;4;2;1;0;7;34
3;4;3;2;0;B;3
3;5;0;4;2;9;13
3;5;1;3;2;A;40
3;5;2;2;2;7;23
3;5;3;1;2;B;38
3;6;0;3;2;8;13
3;6;1;4;1;9;53
3;6;2;1;0;9;53
3;6;3;2;2;H;38
3;7;0;4;1;B;13
3;7;1;3;1;H;40
3;7;2;2;1;T;36
3;7;3;1;3;8;29
3;8;0;3;3;9;55
3;8;1;4;2;T;53
3;8;2;1;3;V;36
3;8;3;2;0;V;53
3;=;3;97;55;10;0
4;1;0;3;2;A;7
4;1;1;4;2;V;40
4;1;2;1;2;H;36
4;1;3;2;2;9;3
4;2;0;1;1;A;7
4;2;1;4;1;9;40
4;2;2;3;1;H;36
4;2;3;2;1;8;3
4;3;0;1;3;B;58
4;3;1;4;3;A;40
4;3;2;3;3;8;22
4;3;3;2;0;7;53
4;4;0;3;2;T;9
4;4;1;4;2;7;40
4;4;2;1;1;7;68
4;4;3;2;2;B;38
4;5;0;3;2;8;9
4;5;1;4;0;B;53
4;5;2;1;3;7;35
4;5;3;2;0;9;53
4;6;0;3;3;T;55
4;6;1;4;0;8;53
4;6;2;1;3;9;66
4;6;3;2;1;V;53
4;7;0;1;3;H;56
4;7;1;4;0;V;53
4;7;2;3;1;B;53
